CONTRACT #;*FUNCTION;*ACTIVITY*;SUN;MON;TUE ;WED;THR;FRI;TOTAL HOUR;NAME;WEEK;Year
6001;400;8000;;;1,5;1;;;2,5;YK;4;2026
6010;400;8000;;;1;1;;1;3;YK;4;2026
6001;400;7000;;;;;;;0;YK;4;2026
6010;400;5000;;4;3,5;3;;4;14,5;YK;4;2026
6010;400;7000;;4;2;3;4;3;16;YK;4;2026
6008;400;7000;;3;2;;;;5;VYÇ;4;2026
6003;800;8000;;;;2;;;2;VYÇ;4;2026
6013;800;7000;;;3;;;;3;VYÇ;4;2026
6008;400;7000;;;;;1;;1;VYÇ;4;2026
4425;400;8000;;4;;;;;4;VYÇ;4;2026
6010;400;7000;;;;3;4;5;12;VYÇ;4;2026
6013;800;8000;;;;2;1;;3;VYÇ;4;2026
6010;400;5000;;7;7;7;7;7;35;BS;4;2026
4390;400;500;;;;;;2;2;CÇ;4;2026
4426;400;500;;1;;0,5;;1;2,5;CÇ;4;2026
6003;400;8000;;;;1;;;1;CÇ;4;2026
6008;400;2000;;;1;;;;1;CÇ;4;2026
6008;400;8000;;;1;;;;1;CÇ;4;2026
6010;400;2000;;;1;;;0,5;1,5;CÇ;4;2026
6010;400;7000;;;;0,5;;;0,5;CÇ;4;2026
6012;400;500;;2,5;;1,5;;;4;CÇ;4;2026
6012;400;5000;;2;;1;;;3;CÇ;4;2026
6012;400;6000;;;;1,5;;;1,5;CÇ;4;2026
6012;400;8000;;;2,5;;;1,5;4;CÇ;4;2026
6013;400;8000;;;1;;;;1;CÇ;4;2026
6008;400;8000;;6;3;;2;1;12;BÞ;4;2026
6008;400;2000;;;1;;1;;2;BÞ;4;2026
6008;400;7000;;;1;1;3;3;8;BÞ;4;2026
6008;400;5000;;;;5;2;2;9;BÞ;4;2026
6012;400;7000;;2;6;4;2;1;15;BP;5;2026
6012;400;5000;;2;;;;1;3;BP;5;2026
4385;400;8000;;1;;2;;;3;BP;5;2026
4425;400;8000;;;;;1;;1;BP;5;2026
6007;400;8000;;3;;2;1;;6;BP;5;2026
6008;400;700;;;2;1;3;3;9;HEÖ;5;2026
6008;400;2000;;4;;;;3;7;HEÖ;5;2026
6008;400;5000;;2;;;;;2;HEÖ;5;2026
6008;400;6000;;;;;;;0;HEÖ;5;2026
6008;400;7000;;2;;;3;2;7;HEÖ;5;2026
6008;400;8000;;;;1;2;;3;HEÖ;5;2026
6011;400;5000;;;;3;2;2;7;SA;5;2026
6011;400;7000;;;;;1;2;3;SA;5;2026
6004;400;7000;;;;4;2;2;8;SA;5;2026
6013;400;5000;;;;;2;1;3;SA;5;2026
6012;400;600;;;;;2;1;3;UK;5;2026
6012;400;700;;;;;1;2;3;UK;5;2026
6011;400;5000;;7;7;4;7;3;28;MA;5;2026
6008;400;5000;;;;;;3;3;MA;5;2026
6012;400;5000;;4;6;3;6;3;22;MY;5;2026
4425;400;5000;;2;;;;;2;MY;5;2026
6013;400;5000;;2;1;2;2;2;9;KP;5;2026
6013;400;8000;;3;2;2;1;2;10;KP;5;2026
6013;400;2000;;2;2;1;2;2;9;KP;5;2026
6013;400;7000;;;1;3;3;2;9;KP;5;2026
6006;400;8000;;1;1;;;;2;KP;5;2026
6003;400;8000;;;1;;;;1;KP;5;2026
6002-11;400;7000;;4;8;8;8;8;36;SH;5;2026
6011;400;8000;;;2;3;;;5;RP;5;2026
6004;400;8000;;;3;2;;;5;RP;5;2026
6011;400;5000;;;;1;;;1;RP;5;2026
6011;400;7000;;2;2;2;;;6;RP;5;2026
6004;400;7000;;;;;;;0;RP;5;2026
4368;400;8000;;2;;;;;2;RP;5;2026
6011;400;1000;;2;1;;;;3;RP;5;2026
4411;400;8000;;1;;;;;1;YK;5;2026
6001;400;8000;;1;;;;;1;YK;5;2026
6010;400;8000;;3;;2;;;5;YK;5;2026
6010;400;5000;;;3;3;;;6;YK;5;2026
6010;400;7000;;3;4;3;5;;15;YK;5;2026
6010;400;6000;;;;;3;8;11;YK;5;2026
6010;400;5000;;7;7;7;7;7;35;BS;5;2026
6010;400;5000;;;6;;;;6;AG;5;2026
6012;400;7000;;5;;;;;5;AG;5;2026
6012;400;5000;;;;;;1;1;AG;5;2026
6002-5;400;5000;;3;;8;7;7;25;AG;5;2026
6002-10;400;5000;;;2;;;;2;AG;5;2026
4456;400;5000;;8;8;8;8;8;40;DB;5;2026
6008;400;7000;;1;;;3;;4;VYÇ;5;2026
4384;400;200;;;1;;;;1;VYÇ;5;2026
6012;400;7000;;;;;4;;4;VYÇ;5;2026
6008;400;7000;;;;6;;;6;VYÇ;5;2026
4372;400;8000;;;;1;;;1;VYÇ;5;2026
6010;400;7000;;6;6;;;;12;VYÇ;5;2026
6002-11;400;7000;;4;8;8;8;8;36;SH;5;2026
6002-11;400;7000;;4;8;8;8;8;36;OS;5;2026
6012;400;100;;;2;5,5;4,5;3,5;15,5;CÇ;5;2026
6012;400;8000;;;2;;1,5;2,5;6;CÇ;5;2026
6013;400;8000;;;2;;;;2;CÇ;5;2026
6008;400;8000;;1;4;1;3;3;12;BÞ;5;2026
6008;400;2000;;;;;1;;1;BÞ;5;2026
6008;400;7000;;;1;2;;;3;BÞ;5;2026
6008;400;5000;;7;1;5;2;3;18;BÞ;5;2026
6006;400;7000;;;;4;;;4;AEA;5;2026
6006;400;8000;;;;1;;;1;AEA;5;2026
6003;400;7000;;;;;;1;1;AEA;5;2026
6013;400;8000;;;;2;6;2;10;AEA;5;2026
6013;400;7000;;;;1;2;5;8;AEA;5;2026
6011;400;8000;;2;2;1;1;2;8;RP;6;2026
6004;400;8000;;3;2;1;2;1;9;RP;6;2026
6011;400;5000;;;1;;;1;2;RP;6;2026
6011;400;7000;;2;;2;2;3;9;RP;6;2026
6004;400;7000;;;;4;;1;5;RP;6;2026
4368;400;8000;;;1;;2;;3;RP;6;2026
6011;400;1000;;;;;;;0;RP;6;2026
4419;400;8000;;;;;;;0;RP;6;2026
6011;400;6000;;1;2;;1;;4;RP;6;2026
6002-11;400;7000;;8;8;8;5;8;37;SH;6;2026
6013;400;5000;;2;1;2;2;2;9;KP;6;2026
6013;400;8000;;3;2;2;1;2;10;KP;6;2026
6013;400;2000;;2;2;1;2;2;9;KP;6;2026
6013;400;7000;;;1;3;3;2;9;KP;6;2026
6006;400;8000;;;;1;1;;2;KP;6;2026
6003;400;8000;;;;;1;;1;KP;6;2026
6011;400;5000;;7;;;;;7;MA;6;2026
6008;400;5000;;;3;;7;;10;MA;6;2026
6013;400;5000;;;4;7;;6;17;MA;6;2026
6007;400;5000;;;;;;1;1;MA;6;2026
6008;400;600;;;2;;;1;3;HEÖ;6;2026
6008;400;5000;;;;;3;2;5;HEÖ;6;2026
6008;400;6000;;;;;;;0;HEÖ;6;2026
6008;400;7000;;8;6;1;3;4;22;HEÖ;6;2026
6008;400;8000;;;;;1;1;2;HEÖ;6;2026
6009;400;7000;;;2;;;;2;HEÖ;6;2026
4356;400;5000;;7;;;;;7;MY;6;2026
6012;400;5000;;;7;2;;;9;MY;6;2026
6011;400;5000;;;;2;;;2;MY;6;2026
6013;400;5000;;;;2;;;2;MY;6;2026
6008;400;5000;;;;;1;;1;MY;6;2026
6003;400;5000;;;;;2;3;5;MY;6;2026
6006;400;5000;;;;;2;3;5;MY;6;2026
6008;400;8000;;3;1;8;6;1;19;BÞ;6;2026
6008;400;2000;;2;;;;;2;BÞ;6;2026
6008;400;7000;;1;;;;2;3;BÞ;6;2026
6008;400;5000;;1;5;;1;4;11;BÞ;6;2026
6012;400;7000;;1;4;1;;;6;BP;6;2026
6012;400;8000;;;;;;2;2;BP;6;2026
4385;400;8000;;;2,5;1;;;3,5;BP;6;2026
4425;400;8000;;;;;;;0;BP;6;2026
6012;400;2000;;;;;2;;2;BP;6;2026
6007;400;7000;;1;3;;;2;6;BP;6;2026
6007;400;8000;;;;2;2;;4;BP;6;2026
4390;400;7000;;;;;1;;1;CÇ;6;2026
6003;400;8000;;2;;;1,5;;3,5;CÇ;6;2026
6007;400;8000;;;;1;;;1;CÇ;6;2026
6008;400;5000;;;;1;1;;2;CÇ;6;2026
6008;400;8000;;;1;;;;1;CÇ;6;2026
6012;400;600;;3;;;;;3;CÇ;6;2026
6010;400;5000;;;;1,5;1;;2,5;CÇ;6;2026
6012;400;400;;;;;1;;1;CÇ;6;2026
6012;400;5000;;1;;;;;1;CÇ;6;2026
6012;400;8000;;;1;1,5;;;2,5;CÇ;6;2026
6013;400;5000;;;;1;;;1;CÇ;6;2026
6013;400;8000;;;;;;2,5;2,5;CÇ;6;2026
6006;400;7000;;;3;1;2;;6;AEA;6;2026
6006;400;8000;;1;1;2;1;1;6;AEA;6;2026
6003;400;7000;;;;;;;0;AEA;6;2026
6003;400;8000;;1;2;;;;3;AEA;6;2026
6013;400;5000;;;;;;;0;AEA;6;2026
6013;400;8000;;3;;3;2;5;13;AEA;6;2026
6013;400;7000;;3;2;2;3;2;12;AEA;6;2026
6012;400;7000;;2;2;3;2;;9;UK;6;2026
6012;400;600;;;;1;;;1;UK;6;2026
6012;400;700;;1;1;;;;2;UK;6;2026
DSEC;400;7000;;;;3;4;;7;VYÇ;6;2026
4425;400;7000;;4;4;;;4;12;VYÇ;6;2026
6012;400;7000;;;;4;;4;8;VYÇ;6;2026
6008;400;7000;;;2;;;;2;VYÇ;6;2026
6010;400;5000;;4;7;7;5;7;30;BS;6;2026
6011;400;7000;;2;2;3;2;2;11;SA;6;2026
6011;400;5000;;1;;1;1;1;4;SA;6;2026
6004;400;7000;;4;5;3;4;4;20;SA;6;2026
6010;400;5000;;4;4;4;4;4;20;OS;6;2026
6007;400;5000;;2;2;2;2;2;10;OS;6;2026
4411;400;8000;;1;;;;;1;YK;6;2026
6001;400;8000;;1;;;;;1;YK;6;2026
6010;400;8000;;3;;2;;;5;YK;6;2026
6010;400;5000;;;3;3;;;6;YK;6;2026
6010;400;7000;;3;4;3;5;;15;YK;6;2026
6010;400;6000;;;;;3;8;11;YK;6;2026
6002-5;400;5000;;8;;2;1;1;12;AG;6;2026
6002-6;400;5000;;;8;;;;8;AG;6;2026
6002-10;400;5000;;;;3;;;3;AG;6;2026
6012;400;5000;;;;;1;;1;AG;6;2026
6002-4;400;5000;;;;;2;4;6;AG;6;2026
6002-9;400;5000;;;;3;4;3;10;AG;6;2026
6008;400;600;;2;;;2;1;5;HEÖ;7;2026
6008;400;700;;;;;;;0;HEÖ;7;2026
6008;400;2000;;3;2;2;;1;8;HEÖ;7;2026
6008;400;5000;;1;;;;;1;HEÖ;7;2026
6008;400;6000;;;;;;;0;HEÖ;7;2026
6008;400;7000;;2;1;4;5;3;15;HEÖ;7;2026
6008;400;8000;;;;;;1;1;HEÖ;7;2026
6009;400;7000;;;2;;;1;3;HEÖ;7;2026
6011;400;5000;;6;;;;;6;MA;7;2026
6004;400;7000;;;5;7;;;12;MA;7;2026
6012;400;7000;;;2;;;;2;MA;7;2026
6003;400;5000;;;;;7;3;10;MA;7;2026
4425;400;5000;;;;;;4;4;MA;7;2026
4384;400;5000;;;0,5;;;;0,5;MY;7;2026
6003;400;5000;;;3;3;3;;9;MY;7;2026
6006;400;5000;;;2,5;3;3;;8,5;MY;7;2026
6008;400;5000;;;;;;4;4;MY;7;2026
6013;400;5000;;2;1;2;2;;7;KP;7;2026
6013;400;8000;;3;2;2;1;;8;KP;7;2026
6013;400;2000;;2;2;1;2;;7;KP;7;2026
6013;400;7000;;;1;3;3;;7;KP;7;2026
6006;400;8000;;1;1;;;;2;KP;7;2026
6003;400;8000;;;1;;;;1;KP;7;2026
6011;400;8000;;3;3;2;2;2;12;RP;7;2026
6004;400;8000;;1;1;3;2;2;9;RP;7;2026
6011;400;5000;;;;2;;1;3;RP;7;2026
6011;400;7000;;2;2;1;1;1;7;RP;7;2026
6004;400;7000;;;;;2;;2;RP;7;2026
4368;400;8000;;;2;;1;2;5;RP;7;2026
6011;400;1000;;;;;;;0;RP;7;2026
4419;400;8000;;;;;;;0;RP;7;2026
6011;400;6000;;2;;;;;2;RP;7;2026
6010;400;5000;;7;6;4;7;6;30;BS;7;2026
6002-11;;;;;;;8;8;16;SH;7;2026
6012;400;7000;;3;1;1;2;;7;BP;7;2026
6012;400;8000;;;;;4;;4;BP;7;2026
4425;400;8000;;;;;;2;2;BP;7;2026
6007;400;7000;;1;1;;;;2;BP;7;2026
6007;400;8000;;;;1;1;;2;BP;7;2026
6008;400;7000;;;;2;;;2;VYÇ;7;2026
DSEC;400;7000;;;;2;;;2;VYÇ;7;2026
4425;400;7000;;;3;3;;;6;VYÇ;7;2026
6012;400;7000;;4;2;;;;6;VYÇ;7;2026
6010;400;7000;;2;;;;;2;VYÇ;7;2026
6013;800;8000;;;;;;4;4;VYÇ;7;2026
6012;400;7000;;1;5;1;4;5;16;SA;7;2026
6011;400;5000;;;1;;2;2;5;SA;7;2026
6004;400;7000;;;1;;2;1;4;SA;7;2026
6010;400;5000;;5;5;5;5;5;25;OS;7;2026
6006;400;7000;;2;1;1;1;1;6;AEA;7;2026
6006;400;8000;;2;2;2;2;1;9;AEA;7;2026
6003;400;7000;;;;;;;0;AEA;7;2026
6003;400;8000;;;;;1;;1;AEA;7;2026
6013;400;5000;;;;;;;0;AEA;7;2026
6013;400;8000;;;4;2;2;3;11;AEA;7;2026
6013;400;7000;;4;1;3;2;3;13;AEA;7;2026
6010;400;700;;1;;;;;1;UU;7;2026
6011;400;700;;0,5;;;;;0,5;UU;7;2026
6010;400;1000;;1;;;;;1;UU;7;2026
6004;400;8000;;0,5;;;;;0,5;UU;7;2026
4368;400;7000;;;1;;;;1;UU;7;2026
6012;400;700;;;1;;;;1;UU;7;2026
6012;400;5000;;;0,5;;;;0,5;UU;7;2026
6006;400;2000;;;0,5;;;;0,5;UU;7;2026
6013;400;2000;;;;1;;;1;UU;7;2026
6013;400;5000;;;;1;;;1;UU;7;2026
6013;400;700;;;;1;;;1;UU;7;2026
6008;400;6000;;;;;1;;1;UU;7;2026
6008;400;7000;;;;;1;;1;UU;7;2026
6008;400;700;;;;;1;;1;UU;7;2026
6013;400;8000;;;;;;1;1;UU;7;2026
6004;400;6000;;;;;;1;1;UU;7;2026
6004;400;8000;;;;;;1;1;UU;7;2026
6008;400;5000;;2;1;1;2;1;7;BÞ;7;2026
6008;400;7000;;4;5;4;4;5;22;BÞ;7;2026
4411;400;8000;;;1;;;;1;YK;7;2026
6001;400;8000;;;;;1;;1;YK;7;2026
6010;400;8000;;1;;2;2;;5;YK;7;2026
6001;400;7000;;;;;2;;2;YK;7;2026
6010;400;5000;;5;3;;;;8;YK;7;2026
6010;400;7000;;2;4;6;3;8;23;YK;7;2026
6002-5;400;5000;;2;2;3;3;4;14;AG;7;2026
6002-4;400;5000;;;;1;2;3;6;AG;7;2026
6010;400;5000;;;;;1;;1;AG;7;2026
6002-9;400;5000;;4;4;;;;8;AG;7;2026
DSEC;400;5000;;2;2;4;2;1;11;AG;7;2026
4372;400;600;;;;;0,5;;0,5;CÇ;7;2026
4425;400;7000;;;;;;1,5;1,5;CÇ;7;2026
6003;400;7000;;;;;;1;1;CÇ;7;2026
6003;400;8000;;1;;;;1;2;CÇ;7;2026
6007;300;600;;;0,5;;;;0,5;CÇ;7;2026
6008;400;8000;;;;1,5;;;1,5;CÇ;7;2026
6010;400;5000;;1,5;;1;3,5;;6;CÇ;7;2026
6010;400;8000;;;3;;;2,5;5,5;CÇ;7;2026
6012;400;5000;;;;;1;;1;CÇ;7;2026
6012;400;7000;;1;;;;;1;CÇ;7;2026
6012;400;8000;;1,5;;1,5;;;3;CÇ;7;2026
6013;400;5000;;2;1;2;2;2;9;KP;8;2026
6013;400;8000;;3;2;2;1;2;10;KP;8;2026
6013;400;2000;;2;2;1;2;2;9;KP;8;2026
6013;400;7000;;;2;3;3;2;10;KP;8;2026
6006;400;8000;;;1;;;;1;KP;8;2026
6003;400;8000;;1;;;;;1;KP;8;2026
6008;400;600;;;;;1;;1;HEÖ;8;2026
6008;400;700;;;;;;2;2;HEÖ;8;2026
6008;400;2000;;2;;2;2;;6;HEÖ;8;2026
6008;400;5000;;;;3;2;;5;HEÖ;8;2026
6008;400;6000;;;;;;;0;HEÖ;8;2026
6008;400;7000;;3;6;1;;;10;HEÖ;8;2026
6008;400;8000;;3;;1;3;3;10;HEÖ;8;2026
6009;400;7000;;;1;;;3;4;HEÖ;8;2026
4425;400;5000;;7;6;7;7;7;34;MA;8;2026
6011;400;8000;;4;3;3;3;2;15;RP;8;2026
6004;400;8000;;3;2;1;2;1;9;RP;8;2026
6011;400;5000;;;;;2;;2;RP;8;2026
6011;400;7000;;;2;3;;2;7;RP;8;2026
6004;400;7000;;0,5;;;1;1;2,5;RP;8;2026
4368;400;8000;;0,5;;1;;;1,5;RP;8;2026
6011;400;6000;;;1;;;;1;RP;8;2026
6010;400;5000;;7;7;7;7;7;35;BS;8;2026
6011;400;7000;;3;;;;;3;VYÇ;8;2026
6007;400;7000;;1;;;;;1;VYÇ;8;2026
6012;400;7000;;;1;1;2;;4;BP;8;2026
6012;400;5000;;3;;2;3;2;10;BP;8;2026
6012;400;8000;;;;;;1;1;BP;8;2026
4385;400;8000;;;;1;1;;2;BP;8;2026
6007;400;7000;;1;1;;;;2;BP;8;2026
6007;400;8000;;1;;1;2;;4;BP;8;2026
4425;400;5000;;7;4;;;;11;MY;8;2026
6008;400;5000;;;3;;;7;10;MY;8;2026
6003;400;5000;;;;3,5;3,5;;7;MY;8;2026
6006;400;5000;;;;3,5;3,5;;7;MY;8;2026
6002-11;400;5000;;8;8;8;8;8;40;SH;8;2026
6010;400;5000;;5;5;5;5;5;25;OÞ;8;2026
6010;400;8000;;;1;1;;;2;YK;8;2026
6001;400;7000;;;;;;;0;YK;8;2026
6010;400;5000;;4;2;3;;;9;YK;8;2026
6010;400;7000;;;5;4;;;9;YK;8;2026
4411;400;7000;;;;;;;0;YK;8;2026
6005;400;8000;;;;;;;0;YK;8;2026
6010;400;2000;;;;;;;0;YK;8;2026
6010;400;6000;;4;;;;;4;YK;8;2026
6006;400;7000;;;;;;1;1;AEA;8;2026
6006;400;8000;;1;;;2;1;4;AEA;8;2026
6003;400;7000;;;;;;;0;AEA;8;2026
6003;400;8000;;1;;;;;1;AEA;8;2026
6013;400;5000;;;;;;2;2;AEA;8;2026
6013;400;8000;;3;4;4;3;2;16;AEA;8;2026
6013;400;7000;;3;4;3;3;2;15;AEA;8;2026
6011;400;7000;;3;2;;;2;7;VYÇ;8;2026
6008;400;7000;;;;;3;;3;VYÇ;8;2026
4425;400;7000;;;1;2;2;2;7;VYÇ;8;2026
6013;800;7000;;;;4;;;4;VYÇ;8;2026
6007;400;7000;;1;;;;;1;VYÇ;8;2026
6013;800;8000;;;1;;2;;3;VYÇ;8;2026
6008;400;5000;;1;;;;;1;UU;8;2026
6008;400;6000;;1,5;;;;;1,5;UU;8;2026
6008;400;2000;;1,5;;;;;1,5;UU;8;2026
6012;400;7000;;;2;;;;2;UU;8;2026
6012;400;8000;;;1;;;;1;UU;8;2026
6006;400;700;;;1;;;;1;UU;8;2026
6010;400;5000;;;;1;;;1;UU;8;2026
6010;400;4000;;;;1;;;1;UU;8;2026
6010;400;2000;;;;2;;;2;UU;8;2026
6011;400;700;;;;;1;;1;UU;8;2026
6011;400;7000;;;;;2;;2;UU;8;2026
6008;400;700;;;;;1;;1;UU;8;2026
6010;400;5000;;;;;;2;2;UU;8;2026
6010;400;7000;;;;;;1;1;UU;8;2026
6011;400;7000;;;;;;1;1;UU;8;2026
6008;400;5000;;1;1;1;2;1;6;BÞ;8;2026
6008;400;7000;;2;1;1;3;2;9;BÞ;8;2026
6008;400;4000;;1;2;2;1;2;8;BÞ;8;2026
6008;500;1000;;2;3;3;1;3;12;BÞ;8;2026
6002-5;400;5000;;5;4;4;6;;19;AG;8;2026
6002-10;400;5000;;;;;;8;8;AG;8;2026
6002-4;400;5000;;;;;2;;2;AG;8;2026
6010;400;5000;;;1;;;;1;AG;8;2026
6002;400;5000;;;3;2;;;5;AG;8;2026
DSEC;400;5000;;3;;2;;;5;AG;8;2026
4384;400;500;;;;;1;;1;CÇ;8;2026
4384;400;8000;;;;0,5;;;0,5;CÇ;8;2026
4390;400;500;;;;;1;;1;CÇ;8;2026
4390;400;5000;;;;1;;;1;CÇ;8;2026
4425;400;400;;;;;;1;1;CÇ;8;2026
4425;400;7000;;1;;0,5;;1;2,5;CÇ;8;2026
4425;400;8000;;1;;1;;;2;CÇ;8;2026
6008;400;5000;;1;;;;;1;CÇ;8;2026
6010;400;5000;;1;1;;;;2;CÇ;8;2026
6010;400;8000;;;;2;;2;4;CÇ;8;2026
6011;400;7000;;1;;;;;1;CÇ;8;2026
6012;400;400;;;;1;1;;2;CÇ;8;2026
6012;400;2000;;;;1;;;1;CÇ;8;2026
6012;400;5000;;;;;;1;1;CÇ;8;2026
6012;400;8000;;;;;;1;1;CÇ;8;2026
6013;400;5000;;1;;;;;1;CÇ;8;2026
6013;400;8000;;;2,5;;1;;3,5;CÇ;8;2026
4456;400;5000;;8;8;8;8;8;40;DB;8;2026
6010;400;5000;;7;7;7;3;7;31;BS;9;2026
6008;400;2000;;;;1;;;1;HEÖ;9;2026
6008;400;5000;;;;1;2;5;8;HEÖ;9;2026
6008;400;6000;;2;3;2;;;7;HEÖ;9;2026
6008;400;7000;;3;;1;;2;6;HEÖ;9;2026
6008;400;8000;;3;5;3;;1;12;HEÖ;9;2026
6009;400;7000;;;;;2;;2;HEÖ;9;2026
4411;100;100;;8;8;8;;;24;VYÇ;9;2026
6011;400;5000;;1;;;;;1;UU;9;2026
6011;400;7000;;1;;;;;1;UU;9;2026
6011;400;6000;;1;;;;;1;UU;9;2026
6004;400;700;;1;;;;;1;UU;9;2026
6012;400;6000;;;1,5;;;;1,5;UU;9;2026
6012;400;8000;;;1,5;;;;1,5;UU;9;2026
6006;400;700;;;0,5;;;;0,5;UU;9;2026
6003;400;700;;;0,5;;;;0,5;UU;9;2026
6010;400;5000;;;;3;;;3;UU;9;2026
6010;400;7000;;;;1;;;1;UU;9;2026
6010;400;700;;;;1;;;1;UU;9;2026
6008;400;6000;;;;;1;;1;UU;9;2026
6008;400;7000;;;;;1;;1;UU;9;2026
6008;400;700;;;;;0,5;;0,5;UU;9;2026
4425;400;5000;;7;7;7;7;7;35;MA;9;2026
6013;400;5000;;2;1;2;2;2;9;KP;9;2026
6013;400;8000;;3;2;2;1;2;10;KP;9;2026
6013;400;2000;;2;2;1;2;2;9;KP;9;2026
6013;400;7000;;;2;3;3;2;10;KP;9;2026
6006;400;8000;;;1;;;;1;KP;9;2026
6003;400;8000;;1;;;;;1;KP;9;2026
6008;400;5000;;7;7;7;;;21;MY;9;2026
6006;400;5000;;;;;3,5;3,5;7;MY;9;2026
6003;400;5000;;;;;3,5;3,5;7;MY;9;2026
6012;400;7000;;1;2;1;;2;6;BP;9;2026
6012;400;5000;;3;1;;2;2;8;BP;9;2026
6012;400;8000;;;;4;;;4;BP;9;2026
4385;400;8000;;1;;;;;1;BP;9;2026
4425;400;8000;;;;;;2;2;BP;9;2026
6012;400;2000;;;2;;;;2;BP;9;2026
6007;400;7000;;;;;;;0;BP;9;2026
6007;400;8000;;3;3;1;2;2;11;BP;9;2026
6008;400;5000;;1;;1;2;;4;BÞ;9;2026
6008;400;7000;;;1;1;;2;4;BÞ;9;2026
6008;400;4000;;1;2;2;3;;8;BÞ;9;2026
6008;500;1000;;2;2;3;1;2;10;BÞ;9;2026
6008;500;8000;;1;1;;1;1;4;BÞ;9;2026
4411;400;8000;;;;;;;0;YK;9;2026
6001;400;8000;;1;;;;;1;YK;9;2026
6010;400;8000;;1;2;;;;3;YK;9;2026
6001;400;7000;;;;;;;0;YK;9;2026
6010;400;5000;;4;3;4;;;11;YK;9;2026
6010;400;7000;;2;3;4;8;;17;YK;9;2026
6012;400;400;;2;;;;;2;UK;9;2026
6012;400;700;;1;2;;;;3;UK;9;2026
4425;400;6000;;;;;;1;1;UK;9;2026
4425;400;8000;;;;;2;2;4;UK;9;2026
4425;400;400;;;;;2;5;7;UK;9;2026
6002-5;400;5000;;6;6;7;7;1;27;AG;9;2026
6002-4;400;5000;;2;1;1;1;;5;AG;9;2026
6002;400;5000;;;1;;;;1;AG;9;2026
6002-10;400;5000;;;;;;7;7;AG;9;2026
6011;400;8000;;2;2;2;3;1;10;RP;9;2026
6004;400;8000;;;2;;2;;4;RP;9;2026
6011;400;5000;;3;2;2;2;;9;RP;9;2026
6011;400;7000;;;2;1;;;3;RP;9;2026
6004;400;7000;;2;;;;;2;RP;9;2026
4368;400;8000;;1;;;;;1;RP;9;2026
6011;400;1000;;;;;;;0;RP;9;2026
4419;400;8000;;;;1;;;1;RP;9;2026
6011;400;6000;;;;;;;0;RP;9;2026
4368;400;7000;;;;;1;;1;RP;9;2026
4384;400;500;;1;;1;;;2;CÇ;9;2026
4390;400;2000;;;1;;;;1;CÇ;9;2026
4390;400;5000;;1;;;;;1;CÇ;9;2026
4390;400;7000;;;;;;1;1;CÇ;9;2026
4425;400;7000;;;;;;1;1;CÇ;9;2026
6008;400;5000;;;;1;;1;2;CÇ;9;2026
6008;400;8000;;;;1;;;1;CÇ;9;2026
6010;400;5000;;2;;;;4;6;CÇ;9;2026
6012;400;7000;;;0,5;;;;0,5;CÇ;9;2026
6012;400;8000;;;;1;1;;2;CÇ;9;2026
6013;400;2000;;;;1;;;1;CÇ;9;2026
6013;400;5000;;2;;;;;2;CÇ;9;2026
6013;400;8000;;;;;1;;1;CÇ;9;2026
6002-11;400;5000;;7;6;8;8;8;37;SH;9;2026
4456;400;5000;;8;8;8;8;8;40;DB;9;2026
4411;200;700;;8;8;4;;;20;VYÇ;9;2026
4425;800;8000;;;;;3;;3;VYÇ;9;2026
4425;400;7000;;;;;;3;3;VYÇ;9;2026
4411;400;8000;;;;1;;;1;VYÇ;9;2026
6013;800;8000;;;;2;;;2;VYÇ;9;2026
6010;400;5000;;5;5;5;5;5;25;OÞ;9;2026
6006;400;7000;;;;;2;;2;AEA;9;2026
6006;400;8000;;;;;2;2;4;AEA;9;2026
6013;400;5000;;2;3;1;;;6;AEA;9;2026
6013;400;8000;;2;2;3;2;3;12;AEA;9;2026
6013;400;7000;;4;3;4;2;3;16;AEA;9;2026
6012;400;7000;;;3;2;1;2;8;BP;10;2026
6012;400;5000;;;1;;;1;2;BP;10;2026
6012;400;8000;;;;;;;0;BP;10;2026
4385;400;8000;;1;;;1;;2;BP;10;2026
4425;400;8000;;;;;;;0;BP;10;2026
6012;400;2000;;4;;5;2;;11;BP;10;2026
6007;400;7000;;1;;;1;;2;BP;10;2026
6007;400;8000;;;;2;;1;3;BP;10;2026
6003;400;5000;;3,5;;3,5;;;7;MY;10;2026
6006;400;5000;;3,5;;3,5;;;7;MY;10;2026
6012;400;5000;;;7;;7;7;21;MY;10;2026
6010;400;5000;;7;7;7;7;7;35;BS;10;2026
6008;400;600;;3;;1;;2;6;HEÖ;10;2026
6008;400;700;;;;;;;0;HEÖ;10;2026
6008;400;2000;;;;;;;0;HEÖ;10;2026
6008;400;5000;;2;;1;;;3;HEÖ;10;2026
6008;400;6000;;;2;;;;2;HEÖ;10;2026
6008;400;7000;;1;;;1;4;6;HEÖ;10;2026
6008;400;8000;;2;;;2;2;6;HEÖ;10;2026
6011;400;8000;;1;3;2;2;3;11;RP;10;2026
6004;400;8000;;1,5;1;1;1;2;6,5;RP;10;2026
6011;400;5000;;;;2;3;;5;RP;10;2026
6011;400;7000;;1;3;3;2;3;12;RP;10;2026
6004;400;7000;;;;;;;0;RP;10;2026
4368;400;8000;;0,5;;;;;0,5;RP;10;2026
6011;400;1000;;;;;;;0;RP;10;2026
4419;400;8000;;1;1;;;;2;RP;10;2026
